route_code,country_code,city,poi_name,poi_type,latitude,longitude,google_place_id,rating,user_rating_count,phone,website,address,opening_hours,osm_id,source,km_from_start,notes
COMMON,RS,Belgrad,Каленић,restaurant,44.8014045,20.4760253,,,,+381 11 2450666,,"Милешевска 2, 11000, Београд",Mo-Su 08:00-00:00,node/476010399,overpass,1400,
COMMON,RS,Belgrad,Снежана,restaurant,44.8192999,20.454673,,,,+381 11 2635706,,Кнеза Михаила 50,Mo-Sa 08:00-01:00; Su 09:00-23:30,node/1018362484,overpass,1400,
COMMON,RS,Belgrad,Цезар,restaurant,44.8253835,20.4567748,,,,,,"Јеврејска 1, 11158, Београд",,node/1042451972,overpass,1400,
COMMON,RS,Belgrad,Срем,restaurant,44.8138644,20.4283058,,,,,https://www.restoransrem.com/,"Булевар Зорана Ђинђића 44, 11070",,node/1600666454,overpass,1400,
COMMON,RS,Belgrad,Maison Boho,restaurant,44.8202423,20.4557785,,,,,http://www.trattoriakosava.com,Краља Петра 36,"Mo-Th 10:00-24:00, Fr,Sa 10:00-01:00",node/1618028665,overpass,1400,
COMMON,RS,Belgrad,Old Town,restaurant,44.8170439,20.4636565,,,,,,,,node/1628137592,overpass,1400,
COMMON,RS,Belgrad,Морнар,restaurant,44.815505,20.4621741,,,,+381 11 3255514,http://www.visnjica.rs/,"Дечанска 2, 11000","Mo-Sa 08:30-23:00, Su 12:00-22:00",node/1629299609,overpass,1400,
COMMON,RS,Belgrad,Путујући глумац,restaurant,44.8180929,20.4645497,,,,,,,,node/1634912097,overpass,1400,
COMMON,RS,Belgrad,Гаћа,restaurant,44.8175577,20.4647589,,,,,,,,node/1634937964,overpass,1400,
COMMON,RS,Belgrad,Zavičaj,restaurant,44.8167718,20.463688,,,,,,,"Mo-Th 08:00-24:00, Fr,Sa 08:00-01:00, Su 10:00-23:00",node/1634937966,overpass,1400,
COMMON,RS,Belgrad,Два јелена,restaurant,44.8174963,20.464101,,,,,,,,node/1634937968,overpass,1400,
COMMON,RS,Belgrad,Златан бокал,restaurant,44.8172363,20.4639323,,,,,,,,node/1634937981,overpass,1400,
COMMON,RS,Belgrad,Шешир мој,restaurant,44.817597,20.4639383,,,,,https://www.sesirmoj.rs/,Скадарска,,node/1634938018,overpass,1400,
COMMON,RS,Belgrad,Со и бибер,restaurant,44.8136972,20.4427965,,,,,,,,node/1782412301,overpass,1400,
COMMON,RS,Belgrad,Majka & Co.,restaurant,44.8289574,20.4634254,,,,,,,,node/1870883116,overpass,1400,
COMMON,RS,Belgrad,Сарајевски,restaurant,44.8235827,20.4593988,,,,+381 11 291048,https://www.sarajevski.rs,,24/7,node/1902768968,overpass,1400,
COMMON,RS,Belgrad,Фенси Кафана,restaurant,44.8229095,20.4396454,,,,,http://www.fensikafana.com/,,,node/2093551502,overpass,1400,
COMMON,RS,Belgrad,Чарда Стара Колиба,restaurant,44.823506,20.4412787,,,,,https://www.starakoliba.rs/,,,node/2093551505,overpass,1400,
COMMON,RS,Belgrad,Gastroport,restaurant,44.8135036,20.4528826,,,,,https://gastroport.rs/,Краљевића Марка 5,Mo-Sa 10:00-23:00,node/2145417585,overpass,1400,
COMMON,RS,Belgrad,Завичај,restaurant,44.8094354,20.4584648,,,,+381 63 369670,https://www.restoranzavicaj.rs/,"Гаврила Принципа 77, 11000, Београд",Mo-Su 09:00-23:00,node/2462249480,overpass,1400,
COMMON,RS,Belgrad,Langouste,restaurant,44.8177198,20.4507662,,,,+381 11 328 3680,https://langouste.rs,Косанчићев венац 29,Mo-Sa 12:00-24:00,node/2464500722,overpass,1400,
COMMON,RS,Belgrad,Boutique 1,restaurant,44.8161477,20.4598416,,,,+381 11 2621373,https://boutiquerestoran.com/sr/restoran-boutique-3,"Трг републике 3, 11000",Mo-Th 08:00-01:00; Fr-Sa 08:00-02:00; Su 08:00-01:00,node/2484928892,overpass,1400,
COMMON,RS,Belgrad,Eatalian,restaurant,44.8193319,20.4621785,,,,,,,Mo-Sa 08:00-23:00; Su off,node/2528285881,overpass,1400,
COMMON,RS,Belgrad,Пицерија Ботако,restaurant,44.8190714,20.4710295,,,,+381 11 3446 770,https://pizzabotako.rs/,"Шантићева 8, 11000",Mo-Su 09:00-23:00,node/2599048822,overpass,1400,
COMMON,RS,Belgrad,Златар,restaurant,44.8126242,20.4826421,,,,,,,,node/2622035476,overpass,1400,
